"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003EA","B25034_003M","B25034_003MA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009E","B25034_009M","B25034_009MA","B25034_009EA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA","B25034_011E","B25034_011EA","B25034_011M","B25034_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Annotation of Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Annotation of Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Annotation of Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Annotation of Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Annotation of Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Annotation of Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Annotation of Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Annotation of Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Annotation of Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Annotation of Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Annotation of Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Annotation of Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Annotation of Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Annotation of Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Estimate!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Annotation of Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Annotation of Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Annotation of Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","Annotation of Margin of Error!!Total:!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","9158","null","47","null","243","null","118","null","303","null","133","null","1334","null","219","null","1855","null","256","null","1369","null","229","null","1506","null","265","null","1175","null","204","null","726","179","null","null","289","null","94","null","358","null","104","null",
"0500000US47011","Bradley County, Tennessee","44149","null","178","null","1739","null","349","null","2251","null","419","null","6865","null","642","null","8317","null","756","null","6342","null","513","null","8278","null","651","null","4600","null","538","null","2860","378","null","null","1055","null","221","null","1842","null","323","null",
"0500000US47031","Coffee County, Tennessee","24272","null","86","null","1091","null","265","null","615","null","189","null","3944","null","429","null","4202","null","487","null","4146","null","464","null","3570","null","441","null","2944","null","381","null","2468","393","null","null","612","null","189","null","680","null","180","null",
"0500000US47067","Hancock County, Tennessee","3609","null","46","null","144","null","64","null","36","null","32","null","527","null","132","null","506","null","114","null","796","null","160","null","363","null","107","null","332","null","108","null","262","81","null","null","205","null","85","null","438","null","120","null",
"0500000US47083","Houston County, Tennessee","4238","null","52","null","112","null","56","null","110","null","56","null","525","null","125","null","745","null","151","null","586","null","100","null","896","null","151","null","461","null","92","null","224","72","null","null","161","null","60","null","418","null","116","null",
"0500000US47115","Marion County, Tennessee","13505","null","94","null","482","null","177","null","370","null","131","null","2320","null","326","null","2395","null","308","null","2318","null","311","null","2381","null","300","null","1310","null","228","null","770","188","null","null","377","null","123","null","782","null","157","null",
"0500000US47149","Rutherford County, Tennessee","122071","null","160","null","11670","null","855","null","7443","null","684","null","32626","null","1577","null","27227","null","1254","null","16739","null","1127","null","11853","null","991","null","6029","null","709","null","4444","792","null","null","2040","null","431","null","2000","null","397","null",
"0500000US47163","Sullivan County, Tennessee","75518","null","181","null","1949","null","314","null","1268","null","244","null","7658","null","654","null","10882","null","792","null","9450","null","668","null","12664","null","762","null","9946","null","663","null","10104","750","null","null","6373","null","660","null","5224","null","442","null",
"0500000US47181","Wayne County, Tennessee","7353","null","112","null","191","null","104","null","331","null","126","null","976","null","207","null","1549","null","297","null","1137","null","260","null","1350","null","290","null","783","null","200","null","435","109","null","null","204","null","72","null","397","null","128","null",
"0500000US47189","Wilson County, Tennessee","54867","null","179","null","5805","null","624","null","3662","null","421","null","12577","null","790","null","9762","null","780","null","7902","null","846","null","6671","null","688","null","3922","null","441","null","2135","353","null","null","902","null","227","null","1529","null","333","null",
"1600000US5331985","Home CDP, Washington","775","null","151","null","8","null","20","null","11","null","18","null","142","null","85","null","190","null","109","null","93","null","78","null","31","null","28","null","88","null","75","null","65","60","null","null","50","null","57","null","97","null","57","null",
