OBJECTID_1,GEOID,STATE,STATE_NAME,COUNTY,NAME,Percent_,AGE_ALL,AGE_0_5,AGE_0_5_RATE,Shape__Area,Shape__Length
1764,47025,47,Tennessee,25,Claiborne,1.47643857,31613,1559,4.931515516,0.115015071,1.936998914
1782,47135,47,Tennessee,135,Perry,1.48257689,7912,532,6.7239636,0.108992465,1.759528565
1849,47043,47,Tennessee,43,Dickson,1.42443557,51988,3200,6.1552666,0.12744053,1.747994443
1852,47059,47,Tennessee,59,Greene,1.48639978,68669,3299,4.804205682,0.161929974,2.044367361
1859,47171,47,Tennessee,171,Unicoi,1.45814733,17780,725,4.077615298,0.048351859,1.239744917
1890,47133,47,Tennessee,133,Overton,1.44134121,22004,1215,5.521723323,0.1130606,1.579997282
1908,47031,47,Tennessee,31,Coffee,1.49049124,54531,3444,6.315673654,0.111794569,2.003215485
1995,47103,47,Tennessee,103,Lincoln,1.44506937,33711,1713,5.081427427,0.146200568,1.870356416
2016,47037,47,Tennessee,37,Davidson,1.60720527,684017,46442,6.789597335,0.136388393,2.071565751
2060,47189,47,Tennessee,189,Wilson,1.26196014,132663,7966,6.004688572,0.151331956,2.284261964
2069,47057,47,Tennessee,57,Grainger,1.40716483,23013,1091,4.740798679,0.078571474,2.177947367
2097,47007,47,Tennessee,7,Bledsoe,1.42372962,14602,603,4.129571292,0.104783083,1.746929439
2099,47183,47,Tennessee,183,Weakley,1.5233091,33626,1724,5.126985071,0.151174425,1.925661548
2172,47143,47,Tennessee,143,Rhea,1.50048015,32628,2048,6.276817457,0.086674316,1.757318524
2249,47157,47,Tennessee,157,Shelby,1.66229415,937005,66676,7.115863843,0.201207347,2.40253329
2259,47011,47,Tennessee,11,Bradley,1.46576214,104557,5982,5.721281215,0.084921395,1.38468672
2318,47121,47,Tennessee,121,Meigs,1.43248104,11962,641,5.35863568,0.055776554,1.809370886
2357,47167,47,Tennessee,167,Tipton,1.42823412,61446,3791,6.169644891,0.121772466,2.634403585
2362,47155,47,Tennessee,155,Sevier,1.48532529,96287,5167,5.366248819,0.154328429,2.141199494
2363,47139,47,Tennessee,139,Polk,1.3847701,16782,771,4.59420808,0.113278566,1.485786194
2443,47109,47,Tennessee,109,McNairy,1.50216511,25903,1389,5.362313246,0.144437095,1.67978783
2534,47049,47,Tennessee,49,Fentress,1.52267788,17994,1063,5.90752473,0.129777882,1.889497649
2537,47005,47,Tennessee,5,Benton,1.47093011,16112,741,4.599056604,0.113024292,1.955129819
2539,47137,47,Tennessee,137,Pickett,1.41321045,5088,223,4.382861635,0.045487309,1.530437285
